model_key,model_name,group_type,group_value,bleu,chrfpp,ter,n,exact_match_rate,normalized_exact_match_rate,empty_output_rate,source_copy_rate,prompt_leakage_rate,extra_explanation_rate,avg_token_f1,avg_rouge_l_f1,avg_edit_similarity,avg_length_ratio,avg_abs_length_ratio_error,avg_repetition_rate,avg_sentence_chrfpp,avg_sentence_bleu,avg_latency_seconds,bertscore_f1,comet
fine_tuned_llama,Fine-tuned Llama 3.2 1B,difficulty,A1,63.07438390583456,77.45315109343248,26.90909090909091,93,0.3978494623655914,0.41935483870967744,0.0,0.0,0.0,0.0,0.8003255421262014,0.7916406786026283,0.86923460330467,1.016478921317631,0.05669056152927122,0.0,77.25110614921388,62.43057844250608,0.5222846740800006,0.941168862645344,0.928084469610645
opus_mt_tc_big,OPUS-MT tc-big,difficulty,A1,50.81002263368587,68.34622140847736,33.81818181818182,93,0.25806451612903225,0.25806451612903225,0.0,0.0,0.0,0.0,0.7378231143336507,0.724938269190741,0.8318648843627576,0.9775857654889913,0.07269585253456222,0.0,69.16392264855014,51.31048103861938,0.11915802447333285,0.9279701453383251,0.9162230587774708
nllb_200_distilled_600m,NLLB-200 distilled 600M,difficulty,A1,44.527903038880055,63.5232042702792,40.36363636363636,93,0.16129032258064516,0.16129032258064516,0.0,0.0,0.0,0.0,0.6798682974204796,0.6685238175276126,0.8023606745798105,0.9822623314558797,0.09269926608636284,0.0,63.81830681838785,44.26860241782617,0.19027380287333315,0.9117989174781307,0.9003066016781714
m2m100_418m,M2M100 418M,difficulty,A1,37.863896802954095,55.96715239285497,46.36363636363636,93,0.12903225806451613,0.13978494623655913,0.0,0.0,0.0,0.0,0.6171681280240153,0.6140801765489671,0.7440139326891881,0.9489289981225463,0.11924816521590713,0.0,55.3088301676115,38.403903302740055,0.20509986384999893,0.8904483920784407,0.8604770446977308
mbart50_mmt,mBART-50 many-to-many,difficulty,A1,33.25079985707314,50.656156624241035,51.81818181818182,93,0.08602150537634409,0.08602150537634409,0.0,0.0,0.0,0.0,0.5566568484649977,0.5439240615386625,0.6989592321431249,0.9944017750469364,0.10636627410820958,0.0,50.5411363358997,32.64378160092674,0.2596354802066677,0.8725114093031935,0.823450634556432
base_llama,Base Llama 3.2 1B,difficulty,A1,2.6093141869637506,14.492253785829053,122.54545454545453,93,0.0,0.010752688172043012,0.0,0.17204301075268819,0.15053763440860216,0.08602150537634409,0.11482773182962935,0.1107839858503995,0.3022096537866131,1.2260966035159584,0.5819593787335723,0.0013440860215053765,14.224493665490131,5.988876049125039,0.47144994348333186,0.6818533699999574,0.5841801730535363
fine_tuned_llama,Fine-tuned Llama 3.2 1B,difficulty,A2,47.26673632935859,66.1107994460535,39.60138648180242,160,0.125,0.1375,0.0,0.0,0.0,0.0,0.7016175205176399,0.6854725858221137,0.802812415320275,1.0192614156676656,0.10965962856587859,0.0008928571428571428,66.26865458073743,44.76676755922175,0.5222846740800007,0.9132680792361498,0.8996598049998283
opus_mt_tc_big,OPUS-MT tc-big,difficulty,A2,36.14093907512847,58.93919018092174,44.62738301559792,160,0.10625,0.10625,0.0,0.0,0.0,0.0,0.6469133048693092,0.6283280898285021,0.774103047369422,0.9703493381618381,0.08851159257409258,0.0010416666666666667,59.6938691291135,36.72793190168856,0.11915802447333287,0.8985867843031883,0.8804982103407383
nllb_200_distilled_600m,NLLB-200 distilled 600M,difficulty,A2,32.90319882241838,55.25784142279233,49.220103986135186,160,0.09375,0.09375,0.0,0.0,0.0,0.0,0.594384911130284,0.5777089843603211,0.7457486038017606,0.9836189504939504,0.0996318611943612,0.0010416666666666667,55.1478950462408,33.27000051873737,0.19027380287333323,0.8858336303383112,0.8614850498735904
m2m100_418m,M2M100 418M,difficulty,A2,24.671552455631684,49.64039415894982,56.499133448873486,160,0.025,0.025,0.0,0.0,0.0,0.0,0.5316266166949889,0.5128708483620148,0.6951484595338309,0.9721557435619935,0.1297792311854812,0.00125,48.670553213778554,24.96379921448999,0.20509986384999895,0.8664440661668777,0.8295851424336433
