row_id,model_key,model_name,direction,comet
434,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.974556028842926
482,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.7533725500106812
238,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.9855371117591858
953,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.9507519602775574
54,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.9793972373008728
8,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.9541064500808716
421,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.9724019765853882
494,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.9731954336166382
648,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.9314772486686707
801,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.9719827175140381
874,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.9812936186790466
69,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.9603860974311829
115,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.9847775101661682
397,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.9393916726112366
206,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.7827423214912415
697,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.9619712233543396
967,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.9296335577964783
506,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.980094850063324
120,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.699055016040802
112,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.8626211881637573
91,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.9421380162239075
82,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.8842464089393616
424,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.944915235042572
564,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.9792532324790955
609,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.9761129021644592
534,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.877404510974884
754,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.8390536904335022
118,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.7213396430015564
747,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.8888168931007385
437,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.9778860807418823
255,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.9796361327171326
334,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.9805772304534912
912,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.7992634177207947
941,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.9454492926597595
457,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.8559425473213196
946,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.9757403135299683
180,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.72579425573349
62,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.9860618710517883
975,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.9445644617080688
74,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.9032838940620422
202,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.9897118806838989
19,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.9710063934326172
804,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.6163967251777649
209,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.9057977795600891
791,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.7358538508415222
838,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.8914257287979126
107,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.9359105229377747
147,fine_tuned_llama,Fine-tuned Llama 3.2 1B,Turkish->English,0.7965235114097595
39,fine_tuned_llama,Fine-tuned Llama 3.2 1B,English->Turkish,0.9882286190986633
